제목,도로명주소,지역,위도,경도,인기점수
비밀역,제주특별자치도 서귀포시 안덕면 화순중앙로124번길 26-1,서귀포시,33.241861,126.3326499,534
경주네횟집,제주특별자치도 제주시 연동6길 28,제주시,33.483482,126.489006,3612
해월향,제주특별자치도 서귀포시 성산읍 고성오조로 33,서귀포시,33.446968,126.914444,3920
만민식당,제주특별자치도 제주시 한림읍 중산간서로 4618-1,제주시,33.3839454,126.2843175,10788
바다를본돼지(판포점),제주특별자치도 제주시 한경면 판포1길 16,제주시,33.3656791,126.1979116,16418
옹포별장가든,제주특별자치도 제주시 한림읍 한림상로 24,제주시,33.40497,126.25798,4602
금보,제주특별자치도 제주시 서부두길 14,제주시,33.5174829,126.5284174,2116
제일식당,제주특별자치도 제주시 추자면 추자로 16-2,제주시,33.9636368,126.2972765,4648
거부한정식(신제주점),제주특별자치도 제주시 제원4길 3,제주시,33.486347,126.48893,6467
젠하이드어웨이,제주특별자치도 서귀포시 안덕면 사계남로 186-8,서귀포시,33.229233,126.30862,29737
뜰향기,제주특별자치도 제주시 조천읍 남조로 2326,제주시,33.499622,126.53119,5056
시흥해녀의집,제주특별자치도 서귀포시 성산읍 시흥하동로 114,서귀포시,33.477978,126.90835,8753
원항아리칼국수보쌈,제주특별자치도 제주시 복지로1길 11,제주시,33.488648,126.5204611,3302
거닐다,제주특별자치도 서귀포시 안덕면 대평감산로 9,서귀포시,33.235462,126.366776,1462
한라마테우리,제주특별자치도 제주시 일주동로 102,제주시,33.5151364,126.5581849,878
다미진,제주특별자치도 서귀포시 표선면 민속해안로 578-1,서귀포시,33.325073,126.84412,5192
리부아르,제주특별자치도 제주시 애월읍 애월해안로 686,제주시,33.4819259,126.375227,744
연미정,제주특별자치도 제주시 세평항로 14,제주시,33.524647,126.85387,12539
뵈뵈,제주특별자치도 제주시 구좌읍 계룡길 73,제주시,33.519325,126.811104,3242
양가형제,제주특별자치도 제주시 한경면 청수동8길 3,제주시,33.307373,126.2541,24234
모락,제주특별자치도 제주시 구좌읍 월정7길 58,제주시,33.555443,126.79596,2760
덤장,제주특별자치도 제주시 용문로 48,제주시,33.50411,126.50143,12453
플로웨이브,제주특별자치도 제주시 한림읍 장원길 63-12,제주시,33.4135624,126.2828649,1728
또또시,제주특별자치도 서귀포시 쇠소깍로 151-8,서귀포시,33.250526,126.62091,6368
대원가,제주특별자치도 제주시 도남로16길 15,제주시,33.491524,126.52702,5946
